lambda,seed,residuum,penalty,warmup,mode,split,acc_fine,acc_coarse,exact,consist,soft_viol,epochs,timestamp
1,2,lukasiewicz,linear,3,raw,test,24.5300,37.1700,21.2300,76.1200,0.015538,20,2026-07-19T22:54:26
1,2,lukasiewicz,linear,3,hard,test,24.5300,38.1200,24.5300,100.0000,0.015538,20,2026-07-19T22:54:26
1,2,lukasiewicz,linear,3,marginal,test,24.5300,38.0000,22.3300,83.0400,0.015538,20,2026-07-19T22:54:26
1,3,lukasiewicz,linear,3,raw,val,25.2800,37.8400,21.9000,77.1000,0.015627,20,2026-07-19T22:57:58
1,3,lukasiewicz,linear,3,hard,val,25.2800,39.0800,25.2800,100.0000,0.015627,20,2026-07-19T22:57:58
1,3,lukasiewicz,linear,3,marginal,val,25.2800,38.8800,23.1800,83.9200,0.015627,20,2026-07-19T22:57:58
1,3,lukasiewicz,linear,3,raw,test,24.8500,37.8000,21.7200,75.9800,0.015738,20,2026-07-19T22:57:58
1,3,lukasiewicz,linear,3,hard,test,24.8500,38.4600,24.8500,100.0000,0.015738,20,2026-07-19T22:57:58
1,3,lukasiewicz,linear,3,marginal,test,24.8500,38.2700,22.6800,83.5300,0.015738,20,2026-07-19T22:57:58
1,4,lukasiewicz,linear,3,raw,val,25.1400,37.2800,21.4600,76.2400,0.014955,20,2026-07-19T23:01:07
1,4,lukasiewicz,linear,3,hard,val,25.1400,38.1000,25.1400,100.0000,0.014955,20,2026-07-19T23:01:07
1,4,lukasiewicz,linear,3,marginal,val,25.1400,38.0400,22.5000,82.7600,0.014955,20,2026-07-19T23:01:07
1,4,lukasiewicz,linear,3,raw,test,24.7800,37.6000,21.5300,76.7300,0.014158,20,2026-07-19T23:01:07
1,4,lukasiewicz,linear,3,hard,test,24.7800,38.0100,24.7800,100.0000,0.014158,20,2026-07-19T23:01:07
1,4,lukasiewicz,linear,3,marginal,test,24.7800,38.5800,22.6300,83.2000,0.014158,20,2026-07-19T23:01:07
2,0,lukasiewicz,linear,3,raw,val,24.9800,38.1800,21.8800,77.6400,0.008999,20,2026-07-19T23:04:10
2,0,lukasiewicz,linear,3,hard,val,24.9800,38.6400,24.9800,100.0000,0.008999,20,2026-07-19T23:04:10
2,0,lukasiewicz,linear,3,marginal,val,24.9800,38.8800,22.7200,83.1200,0.008999,20,2026-07-19T23:04:10
2,0,lukasiewicz,linear,3,raw,test,24.4100,37.9700,21.6500,78.1900,0.007988,20,2026-07-19T23:04:10
2,0,lukasiewicz,linear,3,hard,test,24.4100,37.9300,24.4100,100.0000,0.007988,20,2026-07-19T23:04:10
2,0,lukasiewicz,linear,3,marginal,test,24.4100,38.4100,22.5000,83.1200,0.007988,20,2026-07-19T23:04:10
2,1,lukasiewicz,linear,3,raw,val,23.8800,38.1800,21.3200,79.1000,0.008318,20,2026-07-19T23:07:15
2,1,lukasiewicz,linear,3,hard,val,23.8800,38.3600,23.8800,100.0000,0.008318,20,2026-07-19T23:07:15
2,1,lukasiewicz,linear,3,marginal,val,23.8800,38.6600,22.1400,85.3200,0.008318,20,2026-07-19T23:07:15
2,1,lukasiewicz,linear,3,raw,test,24.6600,37.8600,22.0100,80.2500,0.008274,20,2026-07-19T23:07:16
2,1,lukasiewicz,linear,3,hard,test,24.6600,38.3100,24.6600,100.0000,0.008274,20,2026-07-19T23:07:16
